case,cohort,uma,deck,base_seed,run,variant,rule_seed,score,skill_pt,rmj_ok,free_race_ok,friend_all,five,error
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,0,base,1594401168593035832,71862,8627,3,true,true,3337/2400/1380/1406/2422,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,0,ptblend200,1594401168593035832,71413,8609,3,true,true,3337/2353/1414/1298/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,0,ptblend200-capd0-rgn1,1594401168593035832,71413,8609,3,true,true,3337/2353/1414/1298/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,0,ptblend200-capd0-rgn1-supermode3,1594401168593035832,71413,8609,3,true,true,3337/2353/1414/1298/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,0,ptblend200-capd0-rgn1-supermode1,1594401168593035832,71413,8609,3,true,true,3337/2353/1414/1298/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,1,base,745406983948346172,67764,8528,3,true,true,3337/1838/1493/1352/2407,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,1,ptblend200,745406983948346172,69703,8537,3,true,true,3337/2227/1397/1517/2279,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,1,ptblend200-capd0-rgn1,745406983948346172,69703,8537,3,true,true,3337/2227/1397/1517/2279,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,1,ptblend200-capd0-rgn1-supermode3,745406983948346172,69703,8537,3,true,true,3337/2227/1397/1517/2279,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,1,ptblend200-capd0-rgn1-supermode1,745406983948346172,69703,8537,3,true,true,3337/2227/1397/1517/2279,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,2,base,4220922372882779387,71255,9101,3,true,true,3337/2065/1633/1164/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,2,ptblend200,4220922372882779387,71011,8971,3,true,true,3337/2113/1552/1189/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,2,ptblend200-capd0-rgn1,4220922372882779387,71011,8971,3,true,true,3337/2113/1552/1189/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,2,ptblend200-capd0-rgn1-supermode3,4220922372882779387,73298,9006,3,true,true,3337/2334/1552/1314/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,2,ptblend200-capd0-rgn1-supermode1,4220922372882779387,73298,9006,3,true,true,3337/2334/1552/1314/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,3,base,7866697145657334802,66280,8296,3,true,true,3337/2322/1301/1448/1845,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,3,ptblend200,7866697145657334802,66965,8281,3,true,true,3322/2322/1215/1448/2038,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,3,ptblend200-capd0-rgn1,7866697145657334802,66965,8281,3,true,true,3322/2322/1215/1448/2038,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,3,ptblend200-capd0-rgn1-supermode3,7866697145657334802,66965,8281,3,true,true,3322/2322/1215/1448/2038,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,3,ptblend200-capd0-rgn1-supermode1,7866697145657334802,66965,8281,3,true,true,3322/2322/1215/1448/2038,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,4,base,201428827795581914,72306,9390,3,true,true,3337/1983/1711/1365/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,4,ptblend200,201428827795581914,72306,9390,3,true,true,3337/1983/1711/1365/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,4,ptblend200-capd0-rgn1,201428827795581914,72122,9413,3,true,true,3337/1983/1700/1324/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,4,ptblend200-capd0-rgn1-supermode3,201428827795581914,72122,9413,3,true,true,3337/1983/1700/1324/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,4,ptblend200-capd0-rgn1-supermode1,201428827795581914,72122,9413,3,true,true,3337/1983/1700/1324/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,5,base,12492954552756791432,67523,9041,3,true,true,3337/1659/1670/1043/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,5,ptblend200,12492954552756791432,67833,9058,3,true,true,3337/1783/1504/1092/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,5,ptblend200-capd0-rgn1,12492954552756791432,67833,9058,3,true,true,3337/1783/1504/1092/2445,
